diameter (mm),Series,pitch coarse,pitch fine
1,R10,0.25,0.2
1.2,R10,0.25,0.2
1.4,R20,0.3,0.2
1.6,R10,0.35,0.2
1.8,R20,0.35,0.2
2,R10,0.4,0.25
2.5,R10,0.45,0.35
3,R10,0.5,0.35
3.5,R20,0.6,0.35
4,R10,0.7,0.5
5,R10,0.8,0.5
5.5 ,R20,0.9,0.5
6,R10,1,0.75
7,R20,1,0.75
8,R10,1.25,0.75
10,R10,1.5,1
12,R10,1.75,1.25
14,R20,2,1.5 
16,R10,2,1.5
18,R20,2.5,1.5
20,R10,2.5,1.5
22,R20,2.5,1.5
24,R10,3,2
27,R20,3,2
30,R10,3.5,2
33,R20,3.5,2
36,R10,4,3
39,R20,4,3
42,R10,4.5,3
45,R20,4.5,3
48,R10,5,3
52,R20,5,4
56,R10,5.5,4
60,R20,5.5,4
64,R10,6,4
