preset_name,thread_preset,nut_type,length,nut_chamfer,nut_diameter,thumb
Hex M2 DIN934,M2×0.25 (Fine),HEX,1.6,1,4.32,Hex_M2_DIN934
Hex M2.5 DIN934,M2.5×0.35 (Fine),HEX,2,1,5.45,Hex_M2_5_DIN934
Hex M3 DIN934,M3×0.35 (Fine),HEX,2.4,1,6.01,Hex_M3_DIN934
Hex M3.5 DIN934,M3.5×0.35 (Fine),HEX,2.8,1,6.01,Hex_M3_5_DIN934
Hex M4 DIN934,M4×0.5 (Fine),HEX,3.2,1,7.66,Hex_M4_DIN934
Hex M5 DIN934,M5×0.5 (Fine),HEX,4,1,8.76,Hex_M5_DIN934
Hex M6 DIN934,M6×0.75 (Fine),HEX,5,1,11.05,Hex_M6_DIN934
Hex M8 DIN934,M8×1 (Fine),HEX,6.5,1,14.38,Hex_M8_DIN934
Hex M10 DIN934,M10×1.25 (Fine),HEX,8,1,18.9,Hex_M10_DIN934
Hex M12 DIN934,M12×1.5 (Fine),HEX,10,1,21.1,Hex_M12_DIN934
Hex M14 DIN934,M14×1.5 (Fine),HEX,11,1,24.49,Hex_M14_DIN934
Hex M16 DIN934,M16×1.5 (Fine),HEX,13,1,26.75,Hex_M16_DIN934
Hex M18 DIN934,M18×2 (Fine),HEX,15,1,29.56,Hex_M18_DIN934
Hex M20 DIN934,M20×2 (Fine),HEX,16,1,32.95,Hex_M20_DIN934
Hex M22 DIN934,M22×2 (Fine),HEX,18,1,35.03,Hex_M22_DIN934
Hex M24 DIN934,M24×2 (Fine),HEX,19,1,39.55,Hex_M24_DIN934
Hex M27 DIN934,M27×2 (Fine),HEX,22,1,45.2,Hex_M27_DIN934
Hex M30 DIN934,M30×2 (Fine),HEX,24,1,50.85,Hex_M30_DIN934
